video_id,viewCount,favoriteCount,dislikeCount,likeCount,duration,publishedAt,elapsed_time,category_term,watchTime,numShare,numSubscriber,averageViewDuration,numParent,numChild,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,WC,WPS,Sixltr,Dic,Numerals,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,AllPct,neg,neu,pos,compound,num_EnglishComments,engagement,comment_percentage,discussion_density,like_percentage,dislike_percentage,like_dislike_ratio,share_percentage
aHMER1h4BNU,129260,0,9,174,163,2012-08-21T15:56:15.000Z,1090,Film & Animation,0,211,13,0,69,46,0.557608417,0.123428278,0.064408519,0.016679497,0.004875545,0.007441622,0.022581473,0.012830382,0.056197075,0.096997691,0.141390813,0.097767513,0.040800616,0.082371055,0.00872466,0.046702592,0.122915063,0.051321529,0.021041827,0.028996664,0.011034129,0.007185014,0.095201437,0,0.000513215,0.006928406,0.063125481,0.035668463,0.02617398,0.001796254,0.015909674,0.001539646,0.158840133,0.025917372,0.021298435,0.020528612,0.023607904,0.020015396,0.004875545,0.035668463,0.024377726,0.016166282,0.006158584,0.004618938,0.005388761,0.014113421,0.006415191,0.002309469,0.005388761,0.001026431,0.122401848,0.011034129,0.061329228,0.045676161,0.01308699,0.021298435,0.018219143,0.000256608,0.002566076,0.002566076,0.00436233,0.005645368,0.001026431,11,3897,13.34589041,0.182704645,2.579163459,0,0.077752117,0.037721324,0.000769823,0.000513215,0.003335899,0.015653066,0.005388761,0.010007698,0.022068258,0.00269438,0.015139851,0.191044393,0.12,0.737,0.143,0.9988,53,0,0.000943834,0.37704918,0.001346124,6.96E-05,0.950819672,0.001632369
jB81uS22Nuk,8633,0,1,38,388,2015-04-01T06:02:45.000Z,137,People & Blogs,20956.11667,17,5,184.9069118,34,46,0.162605669,0.05420189,0.037792143,0.019890602,0.00198906,0.012431626,0.001491795,0.00198906,0.015912481,0.011437096,0.054699155,0.032322228,0.00099453,0.039283938,0.010442566,0.012928891,0.037294878,0.022376927,0.00497265,0.00397812,0.00099453,0,0.057682745,0.012431626,0,0.008453506,0.028344107,0.018896072,0.009448036,0.000497265,0.003480855,0.00099453,0.073097961,0.011437096,0.011437096,0.007956241,0.022874192,0.00497265,0.002486325,0.012928891,0.012928891,0.002486325,0.001491795,0.00099453,0,0.00397812,0,0.00397812,0,0,0.038289408,0.00397812,0.019393337,0.012431626,0.009448036,0.005967181,0.003480855,0.002486325,0.06414719,0,0,0.005469915,0.000497265,1,2011,14.4676259,0.158130283,1.019393337,0,0.070611636,0.027349577,0.00298359,0,0.012928891,0.00298359,0.005469915,0.00099453,0.011934361,0.003480855,0.027349577,0.166086524,0.181,0.764,0.056,-0.9999,46,0.476564206,0.010077609,0.528735632,0.004401714,0.000115835,0.974358974,0.001969188
qAKlb2FR6YQ,1682,0,0,47,608,2014-03-18T19:40:24.000Z,516,Entertainment,4147.383333,1,2,149.0970641,18,9,0.354216867,0.079518072,0.024096386,0.012048193,0.002409639,0,0.007228916,0.002409639,0.053012048,0.053012048,0.106024096,0.06746988,0.009638554,0.089156627,0.002409639,0.038554217,0.079518072,0.036144578,0.021686747,0.009638554,0.002409639,0,0.031325301,0,0.002409639,0.004819277,0.089156627,0.065060241,0.024096386,0,0.019277108,0,0.091566265,0.012048193,0.012048193,0.007228916,0.021686747,0.012048193,0.002409639,0.01686747,0.021686747,0.031325301,0.026506024,0,0.002409639,0.009638554,0.004819277,0,0,0.004819277,0.038554217,0.007228916,0.019277108,0.014457831,0.009638554,0.004819277,0.01686747,0.009638554,0.002409639,0,0.002409639,0.007228916,0.004819277,1,415,10.375,0.163855422,1.703614458,0,0.021686747,0.040963855,0.009638554,0.002409639,0.004819277,0.091566265,0.021686747,0.004819277,0.01686747,0.003614458,0.024096386,0.242168675,0.1,0.7,0.2,0.9958,7,0.245225434,0.017241379,0.310344828,0.027942925,0,1,0.00059453
EkiLeo66rq0,83298,0,21,259,242,2015-04-19T01:48:46.000Z,119,Music,130568.6667,189,4,105.4574825,29,15,0.007751938,0.002583979,0.002583979,0,0,0.002583979,0,0,0,0,0.002583979,0.002583979,0,0,0.002583979,0,0.002583979,0,0,0,0,0,0.012919897,0.002583979,0,0,0.005167959,0.005167959,0,0,0,0,0.002583979,0,0,0,0.002583979,0,0,0,0,0.012919897,0,0.012919897,0,0.010335917,0.007751938,0.002583979,0,0,0.002583979,0.002583979,0,0,0,0,0.007751938,0,0,0.005167959,0,0.005167959,0,0,387,9.675,0.175710594,0.126614987,0,0.206718346,0.095607235,0.012919897,0.002583979,0,0.012919897,0,0.005167959,0.005167959,0.003875969,0.023255814,0.368217054,0.004,0.942,0.054,0.9673,14,0.435774721,0.000528224,0.340909091,0.003109318,0.000252107,0.925,0.002268962
0dEc-UyQf58,10191,0,1,244,285,2015-05-15T01:43:31.000Z,93,Gaming,18159.71667,11,5,129.1740368,40,18,0.539581438,0.166515014,0.103730664,0.080982712,0.003639672,0.017288444,0,0.001819836,0.060964513,0.063694268,0.14922657,0.082802548,0.053685168,0.08644222,0.005459509,0.085532302,0.088262056,0.061874431,0.016378526,0.022747953,0.010919017,0.002729754,0.08189263,0.000909918,0,0.005459509,0.08644222,0.075523203,0.010009099,0.000909918,0.003639672,0.004549591,0.135577798,0.025477707,0.013648772,0.012738854,0.020928116,0.015468608,0.002729754,0.03366697,0.01910828,0.029117379,0.002729754,0.020928116,0.005459509,0.020018198,0.003639672,0.004549591,0.010919017,0.000909918,0.127388535,0.011828935,0.035486806,0.085532302,0.01455869,0.015468608,0.06733394,0.002729754,0.007279345,0.003639672,0.000909918,0.01455869,0,2,1099,12.34831461,0.146496815,2.739763421,0,0.065514104,0.031847134,0.01455869,0.005459509,0.004549591,0.027297543,0.002729754,0.003639672,0.021838035,0.005459509,0.027297543,0.210191083,0.054,0.68,0.266,0.9998,18,0.453242234,0.005789422,0.305084746,0.023942695,9.81E-05,0.995918367,0.001079384
oIjoc5bgHlI,238502,0,12,286,37,2015-04-18T17:10:32.000Z,120,Sports,119788.35,198,12,30.23583977,14,8,0.050761421,0,0,0,0,0,0,0,0,0.005076142,0.025380711,0.010152284,0.015228426,0,0,0,0.020304569,0.015228426,0,0,0,0,0,0,0,0,0.015228426,0.005076142,0.010152284,0,0.005076142,0,0.030456853,0,0.015228426,0,0.005076142,0,0,0,0.015228426,0,0,0,0,0.015228426,0.015228426,0,0,0,0.030456853,0,0.030456853,0,0,0,0,0.005076142,0.005076142,0,0.015228426,0.005076142,0.015228426,0,197,9.380952381,0.197969543,0.38071066,0,0.126903553,0.020304569,0.025380711,0.005076142,0,0.045685279,0.005076142,0,0,0.005076142,0.076142132,0.30964467,0.091,0.889,0.02,-0.9466,7,0.817184859,9.22E-05,0.363636364,0.001199151,5.03E-05,0.959731544,0.000830182
UkWcM0uSJH4,210290,0,58,2273,95,2015-05-15T06:56:01.000Z,93,Sports,287552.8667,189,36,82.18261669,105,152,0.498032464,0.129857354,0.077963601,0.017461879,0.01131333,0.020659124,0.017953763,0.010575504,0.04648303,0.062715199,0.156665027,0.096163305,0.038366945,0.100590261,0.009345794,0.04648303,0.093212002,0.050664043,0.029758977,0.026069848,0.014018692,0.013280866,0.104525332,0.000983768,0.000491884,0.007132317,0.097393015,0.061485489,0.035907526,0.001967536,0.021888834,0.005164781,0.1406788,0.011559272,0.017953763,0.024348254,0.016724053,0.015986227,0.006394491,0.037137236,0.022134776,0.028037383,0.011067388,0.005410723,0.009591736,0.022380718,0.007132317,0.009345794,0.008116085,0.000245942,0.103541564,0.016232169,0.049680275,0.040826365,0.012051156,0.031972455,0.026807673,0.000983768,0.003443187,0.00245942,0.000983768,0.01254304,0.00245942,22,4066,12.70625,0.146827349,2.608214461,0,0.149286768,0.016232169,0.00122971,0,0.011805214,0.022872602,0.003689129,0.001475652,0.030004919,0.004672897,0.05656665,0.297835711,0.169,0.664,0.167,-0.6206,138,0.865080176,0.001455133,0.496732026,0.010808883,0.00027581,0.975117975,0.000898759
jfGp_6XP6_Q,860340,0,65,2609,52,2006-09-21T07:10:53.000Z,3059,Sports,0,0,0,0,587,7,0.515658112,0.143748528,0.086060749,0.023310572,0.005062397,0.01459854,0.037320462,0.005768778,0.0507417,0.069696256,0.153402402,0.095714622,0.048858017,0.08723805,0.010595715,0.048151636,0.09430186,0.052389922,0.024252413,0.025076525,0.010948905,0.007887921,0.092535908,0.00035319,0.001177302,0.005062397,0.084412526,0.060513304,0.023899223,0.001765952,0.010948905,0.005297857,0.147044973,0.014834,0.017070874,0.028255239,0.025429715,0.020720509,0.004473746,0.028490699,0.030021191,0.018012715,0.00753473,0.006710619,0.003296445,0.021191429,0.013421239,0.001530492,0.006475159,0.000470921,0.110195432,0.017070874,0.044619732,0.052389922,0.030727572,0.048033906,0.018954556,0.000706381,0.005651048,0.002590064,0.000588651,0.010124794,0.002001413,59,8494,12.73463268,0.13762656,2.642335766,0,0.087591241,0.028490699,0.011655286,0.000824111,0.011066635,0.0359077,0.005415587,0.004356016,0.022486461,0.005592183,0.026253826,0.239639746,0.08,0.681,0.239,0.9998,562,0,0.000685775,0.011864407,0.003032522,7.56E-05,0.975691847,0
h7DessTpEvc,106936,0,63,1684,683,2014-11-23T20:53:00.000Z,266,People & Blogs,679238.75,325,213,400.8806142,64,95,0.070421496,0.011441648,0.011441648,0.006053001,7.38E-05,0.003617037,0.001697793,0,0,0.027607588,0.000959622,0.000885805,0,0.000885805,7.38E-05,0.000369085,0.002435964,0.002952683,0.021702222,0.006053001,0.000885805,7.38E-05,0.014468148,0.002952683,0.000664354,0.003321769,0.014099063,0.010186757,0.003617037,0,0.001107256,0.000369085,0.01417288,0.004281391,0.003690854,0.000885805,0.001107256,0.002509781,0.00125489,0.000738171,0.00051672,0.001328707,0.000295268,0.00051672,7.38E-05,0.000442902,0.000147634,0.000221451,7.38E-05,0,0.006717354,0.000369085,0.001697793,0.004650476,0.003321769,0.003912305,0.006200635,0,0.002583598,0.00177161,0.000221451,0.004502842,0,1,13547,17.70849673,0.201151546,0.288698605,0,0.092123717,0.053665018,0.004059939,0.001697793,0.006274452,0.003838488,0.007824611,0.019266258,0.001107256,0.00834133,0.017125563,0.215324426,0.055,0.929,0.015,-0.9998,45,0.58694087,0.001477519,0.601265823,0.015747737,0.000589137,0.96393818,0.003039201
_vALZjnhpKU,26239,0,47,949,128,2015-04-26T17:21:58.000Z,112,Gaming,39842.76667,124,11,92.23218488,194,154,0.483918852,0.157842652,0.076942108,0.042553191,0.002474023,0.018802573,0.001484414,0.011627907,0.067293419,0.048738248,0.166006927,0.099208313,0.026966848,0.110588817,0.016575952,0.051212271,0.086590797,0.048490846,0.024740228,0.022266205,0.007422068,0.013607125,0.086838199,0.001979218,0.001979218,0.00544285,0.085601188,0.056407719,0.029193469,0.001237011,0.022266205,0.00222662,0.155368629,0.019049975,0.015833746,0.033399307,0.025235032,0.009648689,0.012370114,0.031667491,0.029193469,0.03043048,0.020534389,0.005937655,0.00321623,0.023503216,0.012122712,0.004205839,0.007916873,0.001237011,0.096486888,0.018802573,0.032409698,0.055912914,0.010143493,0.015338941,0.029440871,0.001237011,0.006679861,0.003711034,0.00222662,0.015338941,0.000989609,55,4042,15.97628459,0.139534884,2.62172192,0,0.061355764,0.017812964,0.006927264,0.000494805,0.015091539,0.019297378,0.003958436,0.00321623,0.024245423,0.002597724,0.04453241,0.199529936,0.105,0.748,0.147,0.9911,153,0.720563944,0.013948702,0.420765027,0.036167537,0.001791227,0.952811245,0.00472579
